,artist,song_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2752,Michael Mayer,Apart - Michael Mayer Remix,5v6QfkvgQIRPp8G7UQAUoG,0.695,0.467,7.0,-9.481,0.0,0.0312,0.0195,0.582,0.104,0.174,123.976
2753,Michael Mayer,Hamstring,250pkQCPDUGYRwER87fA92,0.885,0.413,10.0,-10.008,0.0,0.0589,0.0386,0.644,0.111,0.461,125.021
2754,Michael Mayer,Dogma 1,1XpzRBmP1PEHObUKQGsV89,0.614,0.88,7.0,-12.223,1.0,0.0419,0.0565,0.72,0.107,0.037,122.987
2755,Michael Mayer,Voyage Interieur,5nlfPkBZ8rZt0Ovd1MEoop,0.657,0.648,1.0,-11.71,1.0,0.0453,0.00244,0.819,0.0561,0.0462,120.019
2756,Michael Mayer,Lamusetwa,3NSz70kyFJC14Vy5bLQBrM,0.729,0.509,0.0,-7.647,0.0,0.033,0.197,0.935,0.121,0.691,121.172
2757,Michael Mayer,For You,0kVrNcwLbPFYoPCHSLDc7M,0.69,0.457,4.0,-13.694,1.0,0.0352,0.12,0.701,0.098,0.326,123.995
2758,Michael Mayer,Your City's A Sucker - Michael Mayer Remix,0RN5GT4JL3NuWh6XjotJp1,0.686,0.455,7.0,-14.82,1.0,0.0417,0.24,0.946,0.112,0.563,109.995
2759,Michael Mayer,State Of The Nation,2qixirnoevRr8ylL9i0VX4,0.735,0.712,0.0,-10.408,1.0,0.0448,0.135,0.87,0.108,0.063,125.006
2760,95 North,Let Yourself Go - Let Yourself Go Mix,5f3UehDxed89KyQUIo5qrq,0.797,0.855,6.0,-7.714,0.0,0.0748,0.000132,0.371,0.21,0.727,123.04
2761,95 North,Alright - 95 North Unreleased Remix,6T5Ds69lHRmUHHo5UwlwqJ,0.811,0.716,11.0,-4.819,0.0,0.0622,0.000338,0.182,0.0776,0.783,123.008
2762,95 North,Who's Hoo - 95 North Club Mix,1I36ksDEmEo9clpzUylizY,0.799,0.664,11.0,-10.268,0.0,0.0482,0.000551,0.902,0.0331,0.0911,124.018
2763,95 North,Bring Back The Love - London to DC Dub,5cumgUQNjUtHGnN9Bi5Yoe,0.803,0.921,1.0,-10.049,1.0,0.0701,0.0017,0.792,0.0673,0.793,128.107
2764,95 North,Get Your Mind Together,4A9j5wdjp9ndb4zf32xPKu,0.805,0.819,11.0,-8.234,0.0,0.0539,0.0719,0.641,0.33,0.676,122.588
2765,95 North,Let Yourself Go - Original Mix,5APJadw1ASWESXTnky9Y4n,0.821,0.741,9.0,-7.469,0.0,0.0998,0.00397,0.818,0.0877,0.661,123.041
2766,95 North,Alright - 95 North Club Vocal,2lUoFCkUOIomRdW5ZTEH6s,0.743,0.938,2.0,-4.219,1.0,0.122,0.000233,0.194,0.0425,0.807,123.024
2767,95 North,Everything You Do - Everything You Do -95 North Missing Bonus Beats,572lLj0iORXoNNzvHK0ZDv,0.808,0.937,1.0,-8.534,0.0,0.0712,3.62e-05,0.965,0.144,0.574,122.852
2768,95 North,Hold On - DJ Disciple Dub,2WmBJBHVpEpWPJpyZzJGbK,0.797,0.575,5.0,-13.496,0.0,0.0587,0.00558,0.747,0.114,0.773,122.953
