,artist,song_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6658,Basil Cameron,"Violin Concerto in D Major, Op. 35, TH 59: 1. Allegro moderato",45yig06kkCS8e8UmmeWoLj,0.336,0.155,2.0,-17.944,1.0,0.042,0.963,0.602,0.0879,0.223,93.688
6659,Basil Cameron,"Violin Concerto in D Major, Op. 35, TH 59: 3. Finale. Allegro vivacissimo",37qo7Cb55uT0ZxI77X5Loo,0.447,0.211,11.0,-18.036,0.0,0.0421,0.973,0.789,0.112,0.355,82.903
6660,Basil Cameron,"Rhapsodie sur un thème de Paganini, Op. 43. Introduction (Allegro vivace) - Variations Nos. 1-24 - 1938 Recording",4XDlUGB0TH4itNhOvJjY1x,0.308,0.215,5.0,-16.882,1.0,0.0382,0.963,0.623,0.0967,0.143,80.328
6661,Basil Cameron,"Violin Concerto in D Major, Op. 35, TH 59: 2. Canzonetta. Andante",28w230BJRxrHccTIXRqbGp,0.206,0.0915,3.0,-22.647,1.0,0.0468,0.976,0.752,0.387,0.0397,110.26
6662,Basil Cameron,"Piano Concerto No. 3 in D Minor, Op. 30: II. Intermezzo - Adagio / III. Finale - Alla breve",1d1xhHACiMbZRoMF0CtXHt,0.287,0.159,10.0,-19.158,1.0,0.0361,0.983,0.906,0.928,0.0592,108.689
6663,Linda Ronstadt,Blue Bayou,3zxklD2EGecZre9MjEEvIU,0.732,0.161,11.0,-12.817,1.0,0.0306,0.739,0.000379,0.105,0.5,95.21
6664,Linda Ronstadt,Don't Know Much (with Aaron Neville),5z3ZDMP02xF33yCvPFnct3,0.401,0.285,11.0,-11.005,1.0,0.0327,0.657,1.13e-05,0.158,0.267,130.465
6665,Linda Ronstadt,When Will I Be Loved,5jPPjNMIi1rD6BvQqxhJh5,0.513,0.573,9.0,-10.023,1.0,0.0337,0.186,0.000958,0.0878,0.621,132.607
6666,Linda Ronstadt,You're No Good,23DZLSxCK6kM8FF2RlzKDl,0.669,0.52,8.0,-10.136,1.0,0.0345,0.245,0.00535,0.126,0.634,104.812
6667,Linda Ronstadt,Wildflowers - 2015 Remaster,27876bQcDNkZhWqvF0zfFN,0.609,0.368,10.0,-13.338,1.0,0.0294,0.762,6.28e-06,0.335,0.618,90.373
6668,Linda Ronstadt,"Somewhere Out There - From ""An American Tail"" Soundtrack",6Zd6gSMyyjSybIw4lK9Ecy,0.32,0.221,0.0,-16.302,1.0,0.0328,0.817,0.000137,0.0977,0.116,80.04
6669,Linda Ronstadt,It's so Easy,6AZyiAl6mr3Jcp6AlmiQwF,0.623,0.764,4.0,-4.686,1.0,0.0418,0.0229,0.0,0.841,0.894,119.717
6670,Linda Ronstadt,All My Life (with Aaron Neville) - 1999 Remaster,6mHrQvPTT3i4ZwwcR4gZR2,0.602,0.523,3.0,-8.753,1.0,0.034,0.444,5.4e-06,0.05,0.374,74.005
6671,Linda Ronstadt,Desperado,0DCt0NYxTT314P4Rcqzqa2,0.424,0.21,11.0,-11.651,1.0,0.0311,0.877,3.43e-06,0.118,0.232,119.283
6672,Linda Ronstadt,To Know Him Is to Love Him - 2015 Remaster,0gIhlWV243Z1K93QfCeJTM,0.323,0.196,8.0,-16.247,1.0,0.0327,0.767,0.000539,0.0948,0.354,174.656
6673,Sebastian Davidson,Leave U Here,1PitUEpajJb3g3zLpJHp0c,0.552,0.767,10.0,-9.906,0.0,0.034,0.0322,0.926,0.122,0.0979,100.033
6674,Sebastian Davidson,Late Night Obsession - Frameworks Remix,3pbY235CKMDWD8gnSYek9M,0.658,0.529,1.0,-10.569,0.0,0.0395,0.174,0.916,0.111,0.138,120.003
6675,Sebastian Davidson,Greece 2000 - Sebastian Davidson & Melosense Remix,7CbYSC1wMdrUxUTkwktEja,0.68,0.638,1.0,-9.434,0.0,0.0442,0.0128,0.769,0.113,0.446,104.989
6676,Sebastian Davidson,Slow Goods,66D24YMI6FMRRGHO8QoBhO,0.7,0.594,7.0,-8.939,0.0,0.0626,0.139,0.925,0.137,0.106,100.022
6677,Sebastian Davidson,Yugen,4tRYo09M52D1f9UDGjSRXE,0.543,0.844,10.0,-7.182,0.0,0.0299,0.00148,0.903,0.151,0.218,100.108
6678,Sebastian Davidson,Moraine,4DKWVTiMgrRswpLoykl44L,0.357,0.641,3.0,-10.804,0.0,0.0414,0.00181,0.894,0.445,0.245,117.031
6679,Sebastian Davidson,For You,7c9feZKNvthiW1H0NToeFK,0.653,0.717,5.0,-7.612,1.0,0.0328,0.0196,0.928,0.148,0.0769,115.016
6680,Sebastian Davidson,Move - jackLNDN Remix,22FJ5TnSzOXrSUrreLGjLI,0.621,0.605,6.0,-12.168,0.0,0.0345,0.34,0.918,0.11,0.0789,124.005
6681,Sebastian Davidson,Vacades,1jRXXGtQqDmMIHGI8LRjzS,0.439,0.603,7.0,-10.156,1.0,0.0398,0.00481,0.907,0.0961,0.0334,105.035
6682,Sebastian Davidson,Klapp (feat. Claes Rosen),1oVCezWQA35HQLcPa9WNUG,0.576,0.816,5.0,-8.663,0.0,0.0322,0.129,0.924,0.079,0.789,100.006
6683,Playboi Carti,Sky,29TPjc8wxfz4XMn21O7VsZ,0.785,0.903,2.0,-4.184,1.0,0.21,0.258,0.0,0.169,0.565,139.98
6684,Playboi Carti,Miss The Rage (feat. Playboi Carti),5gZYpjakt37G3c58FKcQwJ,0.581,0.877,8.0,-4.938,1.0,0.114,0.0151,0.0,0.826,0.353,77.006
6685,Playboi Carti,Fell In Luv (feat. Bryson Tiller),1s9DTymg5UQrdorZf43JQm,0.657,0.668,2.0,-6.208,1.0,0.136,0.0273,0.0,0.32,0.227,162.997
6686,Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,0.673,0.649,1.0,-8.433,0.0,0.196,0.188,0.0,0.122,0.47,153.075
6687,Playboi Carti,Magnolia,1e1JKLEDKP7hEQzJfNAgPl,0.791,0.582,11.0,-7.323,0.0,0.286,0.0114,0.0,0.35,0.443,162.991
6688,Playboi Carti,Location,3yk7PJnryiJ8mAPqsrujzf,0.717,0.79,11.0,-4.213,1.0,0.2,0.33,0.000125,0.518,0.371,125.985
6689,Playboi Carti,wokeuplikethis*,59J5nzL1KniFHnU120dQzt,0.785,0.62,8.0,-6.667,1.0,0.254,0.0138,0.0,0.15,0.478,78.477
6690,Playboi Carti,Vamp Anthem,4CzhtKifG867Lu5DNQVBSA,0.642,0.69,11.0,-5.101,1.0,0.261,0.00599,1.3e-06,0.322,0.641,164.075
6691,Playboi Carti,R.I.P.,3L0IKstjUgDFVQAbQIRZRv,0.725,0.725,8.0,-6.067,0.0,0.159,0.0119,0.0,0.086,0.515,140.003
6692,Playboi Carti,Long Time - Intro,4IO2X2YoXoUMv0M2rwomLC,0.472,0.861,4.0,-3.966,0.0,0.0447,0.283,0.0,0.83,0.358,144.077
6693,All Time Low,"Dear Maria, Count Me In",0JJP0IS4w0fJx01EcrfkDe,0.459,0.895,2.0,-3.126,1.0,0.0805,0.00725,0.0,0.206,0.572,181.04
6694,All Time Low,Monsters (feat. blackbear),0tyR7Bu9P086aWBFZ4QJoo,0.369,0.845,0.0,-3.449,0.0,0.0611,0.0493,0.0,0.416,0.782,78.532
6695,All Time Low,Monsters (feat. Demi Lovato and blackbear),50DMJJpAeQv4fIpxZvQz2e,0.51,0.787,0.0,-3.712,0.0,0.0529,0.0137,0.0,0.368,0.793,162.092
6696,All Time Low,Weightless,0aZJGkkXR3DgaFqo5sB8ot,0.497,0.923,2.0,-4.512,1.0,0.138,0.00282,0.0,0.158,0.663,181.074
6697,All Time Low,PMA (feat. Pale Waves),52BHuLFKoBemaQ1oOPFhFZ,0.441,0.944,11.0,-3.25,1.0,0.112,0.000575,0.0,0.3,0.657,155.067
6698,All Time Low,Once In A Lifetime,2Qjkvp4GLlL60lFXtEte0X,0.492,0.911,1.0,-3.891,0.0,0.113,0.015,0.0,0.345,0.429,168.024
6699,All Time Low,Remembering Sunday,2qxXypNXOJZ5qUFdpzJ56n,0.45,0.602,6.0,-4.801,0.0,0.0264,0.15,0.0,0.141,0.316,170.043
6700,All Time Low,Ghost Story (with All Time Low),2zgYAaDIic9iTLujB3FARq,0.372,0.881,10.0,-5.068,0.0,0.314,0.019,0.0,0.296,0.474,120.137
6701,All Time Low,Kids In The Dark,50oS45iNMFp7pKIQRAWIUP,0.519,0.981,1.0,-3.472,0.0,0.0733,0.00137,0.000164,0.0903,0.765,130.043
6702,All Time Low,Therapy,371Tb0eNfpjpSqggjcLv8c,0.313,0.713,9.0,-4.489,1.0,0.0327,0.0258,0.0,0.135,0.196,169.871
6703,Polar Youth,All Night - Metrik Remix,5xbdgmHEFZVAdDPIVYv8EN,0.49,0.917,10.0,-2.699,0.0,0.0432,0.000683,0.529,0.182,0.502,174.028
6704,Polar Youth,Who U Are,3VJKLnqPjOwHNYLvZ9vB6R,0.52,0.746,5.0,-5.01,1.0,0.0388,0.176,0.000727,0.118,0.17,140.086
6705,Polar Youth,All Night,6HjCnJuj3RWeLReLtkgooJ,0.638,0.767,0.0,-3.736,0.0,0.0611,0.124,0.0,0.106,0.357,160.023
6706,Polar Youth,Ms. Right Now (Polar Youth Remix),2GLW4O2ywOk8RwoV7D1iWY,0.621,0.67,1.0,-4.882,1.0,0.0345,0.485,0.0,0.0855,0.494,104.929
6707,Polar Youth,Never Back Down ( Polar Youth Remix),4hiwNTK2sVxuf60fCdhfCm,0.606,0.739,10.0,-5.781,0.0,0.0808,0.814,0.0,0.118,0.25,99.979
6708,Polar Youth,Love Me,2ApKqyYTQoPmVE6SmtrvKE,0.533,0.607,4.0,-7.702,1.0,0.034,0.0482,2.32e-05,0.105,0.072,140.094
6709,Polar Youth,Secrets,5nF0LGErhMCQrld6rMNPBN,0.424,0.47,6.0,-7.225,1.0,0.183,0.564,0.0,0.12,0.254,176.28
6710,Polar Youth,Faded,2vcGb7IEHgqFXMySlVlWzM,0.633,0.534,0.0,-7.334,0.0,0.0632,0.205,0.00185,0.112,0.398,172.067
6711,Polar Youth,Drifter,71lQpx3nzlQK0yOAbHeEDP,0.569,0.695,10.0,-6.663,0.0,0.0362,0.266,2.21e-05,0.192,0.205,172.053
6712,Polar Youth,LFS,6xcUt2wreQHuw4n5mbRUsM,0.823,0.71,11.0,-4.392,0.0,0.0409,0.0781,0.0396,0.316,0.404,134.996
6713,Hector Berlioz,"Symphonie fantastique, Op. 14: Symphonie fantastique, Op. 14: IV. Marche au supplice",1SHixA41Vy0TTlJJSX9Gbo,0.356,0.207,10.0,-17.76,1.0,0.0388,0.95,0.914,0.0802,0.328,146.755
6714,Hector Berlioz,Songe d'un nuit de sabbat,1DW0OXxWKOpYCQLDTCIzeF,0.372,0.292,0.0,-17.429,0.0,0.0803,0.873,0.856,0.289,0.123,127.754
6715,Hector Berlioz,"Symphonie fantastique, Op. 14, H 48: V. Songe d'une nuit de sabbat",7FdFPOWkgArNIjozJogBP2,0.289,0.0658,0.0,-26.073,0.0,0.0539,0.692,0.637,0.258,0.102,59.963
6716,Hector Berlioz,"Berlioz: Symphonie fantastique, H. 48: II. Un bal. Valse. Allegro non troppo",2t414AZS5rTNCHiccHzrhk,0.158,0.0637,9.0,-24.729,1.0,0.0465,0.937,0.667,0.0785,0.101,72.99
6717,Hector Berlioz,"Symphonie fantastique, Op. 14, H 48: I. Rêveries - Passions",6hVG3m6dephYvtGxntHyqO,0.201,0.0425,0.0,-25.611,1.0,0.043,0.649,0.349,0.0884,0.0543,139.396
