,artist
488,Hillsong UNITED
489,Sabrina Carpenter
490,R.E.M.
491,NLE Choppa
492,Imanbek
493,Jax Jones
494,The Fray
495,Samra
496,Papa Roach
497,Rick Ross
498,T-Pain
499,bbno$
500,Tate McRae
501,DNCE
502,Milky Chance
503,Robbie Williams
504,Christina Perri
505,Rag'n'Bone Man
506,Van Morrison
507,Years & Years
508,KHEA
509,Lynyrd Skynyrd
510,Juan Magán
511,Stormzy
512,Shinedown
513,Of Monsters and Men
514,Ludovico Einaudi
515,Keith Urban
516,The Smiths
517,Kali Uchis
518,Hollywood Undead
519,Daryl Hall & John Oates
520,The Cranberries
521,All Time Low
522,PnB Rock
523,Aya Nakamura
524,Rage Against The Machine
525,Black Sabbath
526,Sublime
527,"Earth, Wind & Fire"
528,Brytiago
529,Axwell /\ Ingrosso
530,Kodaline
531,A Day To Remember
532,TOTO
533,Rels B
534,Sfera Ebbasta
535,GIMS
536,MGMT
537,Andy Grammer
538,Prince
539,Vicente Fernández
540,Melendi
541,Rod Stewart
542,C. Tangana
543,Don Diablo
544,Aretha Franklin
545,Dermot Kennedy
546,Carrie Underwood
547,The White Stripes
548,Enya
549,Scorpions
550,ODESZA
551,Sabaton
552,Evanescence
553,Damso
554,Nelly Furtado
555,Grupo Firme
556,Bibi und Tina
557,George Strait
558,Mustard
559,Tainy
560,Pedro Capó
561,Bryant Myers
562,El Alfa
563,Van Halen
564,WALK THE MOON
565,Shaggy
566,Luciano
567,gnash
568,Sum 41
569,Nacho
570,Hardwell
571,Ozzy Osbourne
572,Marilyn Manson
573,Two Door Cinema Club
574,Noriel
575,Carlos Rivera
576,Stray Kids
577,Clairo
578,RAYE
579,Mac DeMarco
580,3 Doors Down
581,Desiigner
582,Ella Mai
583,Sara Bareilles
584,Arizona Zervas
585,De La Ghetto
586,Jorja Smith
587,Louis Tomlinson
588,Alan Jackson
589,Dave
590,Ali Gatie
591,Colbie Caillat
592,Fergie
593,José José
594,R. Kelly
595,Bethel Music
596,Cali Y El Dandee
597,Rascal Flatts
598,Luan Santana
599,Red Velvet
600,Jaden
601,Gotye
602,Vampire Weekend
603,Jay Wheeler
604,The Clash
605,Astrid S
606,M83
607,Aloe Blacc
608,Sido
609,Marco Antonio Solís
610,Ms. Lauryn Hill
611,Rod Wave
612,Jessie Reyez
613,OMI
614,MØ
615,MC Kevinho
616,Willy William
617,The Smashing Pumpkins
618,Joyner Lucas
619,Stefflon Don
620,Pharrell Williams
621,TINI
622,Kacey Musgraves
623,Joey Bada$$
624,Goodboys
625,Limp Bizkit
626,Joel Corry
627,Joan Sebastian
628,Annie Lennox
629,Mike WiLL Made-It
630,Natanael Cano
631,Sleeping At Last
632,Tom Odell
633,Thirty Seconds To Mars
634,SEVENTEEN
635,The Kooks
636,Westlife
637,Lord Huron
638,Leon Bridges
639,Portugal. The Man
640,DMX
641,Olly Murs
642,Lofi Fruits Music
643,El Fantasma
644,Loud Luxury
645,Danna Paola
646,Snow Patrol
647,Trevor Daniel
648,Keane
649,Ha*Ash
650,Kontra K
651,Nekfeu
652,Calle 13
653,Ciara
654,Michael Silverman
655,Topic
656,Queens of the Stone Age
657,Booba
658,Owl City
659,Santana
660,The Who
661,Gerardo Ortiz
662,Swedish House Mafia
663,Dierks Bentley
664,Ben Howard
665,Moneybagg Yo
666,Blueface
667,Kelly Rowland
668,Afrojack
669,Incubus
670,Gryffin
671,Thalia
672,MAX
673,Apache 207
674,Elevation Worship
675,Powfu
676,Tee Grizzley
677,Lil Dicky
678,Chief Keef
679,Yo Gotti
680,Los Tigres Del Norte
681,Wham!
682,Gigi D'Agostino
683,CHVRCHES
684,ANAVITÓRIA
685,La Oreja de Van Gogh
686,Cosculluela
687,Mötley Crüe
688,Gwen Stefani
689,KISS
690,Quinn XCII
691,TKKG
692,Beret
693,Kollegah
694,Leona Lewis
695,Frédéric Chopin
696,Charlie Brown Jr.
697,Wale
698,Darell
699,Conor Maynard
700,The Jackson 5
701,Daya
702,Zoé
703,Sting
704,fun.
705,Yung Gravy
706,Old Dominion
707,Lady A
708,Gente De Zona
709,Taio Cruz
710,Martin Jensen
711,Nas
712,Denzel Curry
713,John Lennon
714,Miranda Lambert
715,Die drei !!!
716,League of Legends
717,Guaynaa
718,Sufjan Stevens
719,Aitana
720,Dilsinho
721,Casper Magico
722,Roxette
723,Arcade Fire
724,Mon Laferte
725,AJ Tracey
726,David Bisbal
727,Niska
728,Lee Brice
729,Jack Ü
730,Stromae
731,Felipe Araújo
732,Bruno & Marrone
733,Shania Twain
734,The Pussycat Dolls
735,Ice Cube
736,Neil Young
737,Ezhel
738,Paul Simon
739,Kevin Roldan
740,Saweetie
741,Internet Money
742,girl in red
743,The National
744,Bullet For My Valentine
745,Sean Kingston
746,Martin Solveig
747,MKTO
748,Simple Plan
749,KSI
750,Banda El Recodo
751,Yusuf / Cat Stevens
752,Yellow Claw
753,Nat King Cole
754,Chayanne
755,Kiiara
756,Gera MX
757,Sade
758,Chencho Corleone
759,Plan B
760,Lionel Richie
761,Brad Paisley
762,Maria Becerra
763,*NSYNC
764,John Newman
765,Nina Simone
766,Jowell & Randy
767,Granular
768,will.i.am
769,Bea Miller
770,Nipsey Hussle
771,Alex Rose
772,Feid
773,Chelsea Cutler
774,DJ Luian
775,Electric Light Orchestra
776,Los Temerarios
777,DENNIS
778,Natalia Lafourcade
779,Rich Brian
780,Lily Allen
781,Kylie Minogue
782,Tech N9ne
783,KALEO
784,Mambo Kingz
785,Baby Lullaby Academy
786,CRO
787,Dolly Parton
788,deadmau5
789,Oh Wonder
790,Brett Young
791,The Goo Goo Dolls
792,Dido
793,Tracy Chapman
794,Jay Chou
795,Mike Perry
796,Tom Walker
797,Ghostemane
798,Tears For Fears
799,Greeicy
800,Tina Turner
801,Ruth B.
802,Audioslave
803,Mr. Probz
